symbol,name,sector
AAPL,Apple Inc,Information Technology
MSFT,Microsoft Corp,Information Technology
NVDA,NVIDIA Corp,Information Technology
GOOGL,Alphabet Inc Class A,Communication Services
AMZN,Amazon.com Inc,Consumer Discretionary
META,Meta Platforms Inc,Communication Services
TSLA,Tesla Inc,Consumer Discretionary
BRK.B,Berkshire Hathaway Inc Class B,Financials
AVGO,Broadcom Inc,Information Technology
JPM,JPMorgan Chase & Co,Financials
LLY,Eli Lilly and Co,Health Care
V,Visa Inc,Financials
UNH,UnitedHealth Group Inc,Health Care
XOM,Exxon Mobil Corp,Energy
MA,Mastercard Inc,Financials
JNJ,Johnson & Johnson,Health Care
PG,Procter & Gamble Co,Consumer Staples
HD,Home Depot Inc,Consumer Discretionary
COST,Costco Wholesale Corp,Consumer Staples
MRK,Merck & Co Inc,Health Care
ABBV,AbbVie Inc,Health Care
CVX,Chevron Corp,Energy
CRM,Salesforce Inc,Information Technology
BAC,Bank of America Corp,Financials
AMD,Advanced Micro Devices Inc,Information Technology
PEP,PepsiCo Inc,Consumer Staples
TMO,Thermo Fisher Scientific Inc,Health Care
ACN,Accenture Plc,Information Technology
MCD,McDonald's Corp,Consumer Discretionary
WMT,Walmart Inc,Consumer Staples
CSCO,Cisco Systems Inc,Information Technology
ABT,Abbott Laboratories,Health Care
GE,General Electric Co,Industrials
CAT,Caterpillar Inc,Industrials
IBM,International Business Machines Corp,Information Technology
NFLX,Netflix Inc,Communication Services
INTC,Intel Corp,Information Technology
ADBE,Adobe Inc,Information Technology
DIS,Walt Disney Co,Communication Services
ORCL,Oracle Corp,Information Technology
MS,Morgan Stanley,Financials
WFC,Wells Fargo & Co,Financials
GS,Goldman Sachs Group Inc,Financials
NOW,ServiceNow Inc,Information Technology
TXN,Texas Instruments Inc,Information Technology
INTU,Intuit Inc,Information Technology
QCOM,Qualcomm Inc,Information Technology
RTX,RTX Corp,Industrials
HON,Honeywell International Inc,Industrials
AMGN,Amgen Inc,Health Care
BMY,Bristol-Myers Squibb Co,Health Care
UPS,United Parcel Service Inc,Industrials
DE,Deere & Co,Industrials
BA,Boeing Co,Industrials
SBUX,Starbucks Corp,Consumer Discretionary
LMT,Lockheed Martin Corp,Industrials
AMAT,Applied Materials Inc,Information Technology
MU,Micron Technology Inc,Information Technology
ADI,Analog Devices Inc,Information Technology
ISRG,Intuitive Surgical Inc,Health Care
T,AT&T Inc,Communication Services
